source_data_label	internal_table_path	manuscript_usage
S1 Data	results/cross_method_boundary/coverage_manifest.tsv	Fig 2D and retained analysis coverage
S2 Data	results/cross_method_boundary/global_characterization.tsv	Fig 2A and global map characteristics
S3 Data	results/cross_method_boundary/stability_pairwise.tsv	Pairwise repeatability details
S4 Data	results/cross_method_boundary/stability_summary.tsv	Fig 2B-C and section-resolution stability
S5 Data	results/cross_method_boundary/switching_boundary_relationship.tsv	Fig 3A-B and direct boundary association
S6 Data	results/cross_method_boundary/histology_gradient_localization.tsv	Fig 3C and mixed image-gradient context
S7 Data	results/cross_method_boundary/downstream_contrasts.tsv	Fig 4C and per-partition boundary contrasts
S8 Data	results/cross_method_boundary/downstream_robustness_summary.tsv	Fig 4D and point-estimate direction changes
S9 Data	results/cross_method_boundary/downstream_opposite_sign_evidence.tsv	Unit-level point-estimate and interval-support classification
S10 Data	results/cross_method_boundary/downstream_opposite_sign_method_summary.tsv	Fig 4A-B method summaries
S11 Data	results/cross_method_boundary/computational_sensitivity.tsv	S5 Fig and sensitivity details
S12 Data	results/cross_method_boundary/computational_sensitivity_summary.tsv	S5 Fig method-factor summaries
S13 Data	results/cross_method_boundary/switching_spots.tsv.gz	Fig 3D and S4 Fig switching coordinates
S14 Data	results/cross_method_boundary/full13_official_sensitivity.tsv	Full-cohort official-implementation sensitivity check for SpaGCN, STAGATE_pyG, and BayesSpace nrep=1,000
S15 Data	results/cross_method_boundary/stability_stratified_downstream_sensitivity.tsv	Stability-stratified downstream sensitivity summary separating low-, moderate-, and high-ARI settings
S16 Data	results/cross_method_boundary/molecular_tumor_stroma_proxy_interface.tsv	Molecular tumor-stroma proxy interface contrasts using EPCAM-high and COL1A1/FAP-high inferred domains
S17 Data	results/cross_method_boundary/molecular_tumor_stroma_proxy_summary.tsv	Method summary and interval-supported examples for molecular proxy-interface contrasts
