dataset_id	sample_id	method_id	method_label	K	sensitivity_factor	reference_setting	alternative_setting	metric_name	metric_value	status	scope	source_file
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_marker_coherence_median_nrep1000_minus_nrep100	0.05737195145856	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_spatial_coherence_median_nrep1000_minus_nrep100	0.071336464953486	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_stability_ari_median_nrep1000_minus_nrep100	0.512121323867743	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_wall_time_sec_median_nrep1000_minus_nrep100	67.2265	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_marker_coherence_median_nrep1000_minus_nrep100	-0.037379689513210135	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_spatial_coherence_median_nrep1000_minus_nrep100	0.021691074882564942	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_stability_ari_median_nrep1000_minus_nrep100	0.06208615120314498	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_wall_time_sec_median_nrep1000_minus_nrep100	50.901500000000105	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_marker_coherence_median_nrep1000_minus_nrep100	-0.0018646190576299126	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_spatial_coherence_median_nrep1000_minus_nrep100	0.0016957173278649984	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_stability_ari_median_nrep1000_minus_nrep100	0.015335296773368978	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	MCMC_iterations	nrep_100	nrep_1000	delta_wall_time_sec_median_nrep1000_minus_nrep100	70.15	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_marker_coherence_median_nrep1000_minus_nrep100	0.03809840203652004	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_spatial_coherence_median_nrep1000_minus_nrep100	-0.04826879091411007	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_stability_ari_median_nrep1000_minus_nrep100	-0.23916788028609792	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	MCMC_iterations	nrep_100	nrep_1000	delta_wall_time_sec_median_nrep1000_minus_nrep100	63.43849999999999	success	two preselected GSE311294 sections	bayesspace_nrep1000_sensitivity.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.11549059856823018	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.07696232053057306	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.18331945666097094	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.11511768273707013	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.02571454170773302	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.10024623874882505	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.025980683709470043	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.047574236721037	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.22908374792820496	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.04842422975888294	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.051925192519251984	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.057897175006760004	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.043806231116156	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03354851330203501	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.118745481701931	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.18103164246595305	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04276871131119897	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.446571259626879	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.16611114240860791	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03798807462973608	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.29753314503084005	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.01667075297771098	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.03741843393148403	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.278541605870827	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.18979498030727004	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.09919867366675894	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.21930181443470803	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.17953045190388006	success	all available CRC sections	global_characterization.tsv
