dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	gene	COL1A1	COL1A1	1303	3387	2.3867911826783805	3.2591449617201227	-0.8723537790417422	-1.0505690722242838	-0.6747138274957978	1000	4.717035168662316e-19	31	-0.15180578465959882	-2.193828720384101	2.4653023152793283	2.5943693427642737e-18
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	gene	COL1A1	COL1A1	1297	3393	2.3816903809221937	3.2591449617201227	-0.877454580797929	-1.0715767898519521	-0.7004777786160952	1000	4.224157233929483e-19	32	-0.330000910027612	-2.3497556201776115	2.413880660683887	2.3232864786612157e-18
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	gene	COL1A1	COL1A1	1307	3383	2.3816903809221937	3.2707676586171543	-0.8890772776949607	-1.067348748317083	-0.6943530280678306	1000	3.372241831651977e-21	32	-0.36323292401787155	-1.7012981226381336	2.4110422033747017	1.8547330074085873e-20
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	gene	EPCAM	EPCAM	1303	3387	2.7738083146718693	2.6774951555318	0.09631315914006944	0.04472243340596255	0.15153351195006717	1000	2.2395464396501104e-13	31	0.09255140242885362	-0.6502198228304412	2.3170749447772203	6.158752709037804e-13
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	gene	EPCAM	EPCAM	1297	3393	2.773057596793172	2.6813942111000446	0.09166338569312726	0.0395930538796028	0.14858235147492369	1000	7.91412865492e-12	32	0.062165545812640444	-0.6552328640660698	2.278442941199218	2.0648025303644763e-11
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	gene	EPCAM	EPCAM	1307	3383	2.7844837599003522	2.673711994198584	0.11077176570176839	0.05477347144929995	0.1635824833593293	1000	1.7486688204394193e-13	32	0.06555337853673637	-0.5560085122328535	2.185058964904885	3.847071404966723e-13
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	gene	FAP	FAP	1303	3387	0.0	0.0	0.0	0.0	0.0	1000	0.0685060334059417	31	0.0	0.0	0.1810586282700629	0.09419579593316985
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	gene	FAP	FAP	1297	3393	0.0	0.0	0.0	0.0	0.0	1000	0.05408452575827188	32	0.0	0.0	0.5410688820043065	0.07436622291762383
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	gene	FAP	FAP	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	0.07134573966479821	32	0.0	0.0	0.13107094654018783	0.09810039203909754
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	gene	PTPRC	PTPRC	1303	3387	0.0	0.0	0.0	0.0	0.0	1000	0.33015055889238054	31	0.0	0.0	0.0	0.33015055889238054
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	gene	PTPRC	PTPRC	1297	3393	0.0	0.0	0.0	0.0	0.0	1000	0.5431146520196158	32	0.0	0.0	0.0	0.5974261172215775
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	gene	PTPRC	PTPRC	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	0.583675112685814	32	0.0	0.0	0.0	0.583675112685814
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	1303	3387	0.9842375648507069	1.471634923517675	-0.4873973586669682	-0.5832553229028532	-0.3651979822567727	1000	1.2460574065420245e-13	31	-0.02321759963997516	-1.0886125343347974	1.3865963242926516	4.568877157320756e-13
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	1297	3393	0.9842375648507069	1.4861729386376912	-0.5019353737869843	-0.587846581827689	-0.3813019336634349	1000	7.499271111807257e-14	32	-0.04832532200342321	-1.2676105964738331	1.3298234130627162	2.749732740995994e-13
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	1307	3383	0.978951795091775	1.4909508663765316	-0.5119990712847566	-0.5982868860398625	-0.3883768626714519	1000	5.173405813487899e-16	32	-0.05858357424901578	-1.041665334096414	1.3527504574752547	1.8969154649455628e-15
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	1303	3387	0.0	0.0	0.0	0.0	0.0	1000	1.4098437140575055e-06	31	0.0	-0.054941097381273965	0.20946883602996133	2.5847134757720937e-06
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	1297	3393	0.0	0.0	0.0	0.0	0.0	1000	1.2758490162327789e-05	32	0.0	-0.07883200506898502	0.20441551270121114	2.3390565297600944e-05
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	1.124791996512712e-06	32	0.0	-0.05738823225047131	0.22311362420916778	2.0621186602733054e-06
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	1303	3387	1.1592141065280395	1.6756509670104456	-0.5164368604824061	-0.6230175218171509	-0.4099278284203463	1000	8.659151289932991e-12	31	0.006151050136123937	-0.9445946382908168	1.494906665513886	1.905013283785258e-11
