dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.9384158760163274	False	4690	109	0.0232409381663113
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.928817202824643	False	4690	125	0.026652452025586353
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.7454977461636721	False	4690	890	0.18976545842217485
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.7402681426551235	False	4690	887	0.18912579957356077
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.44781188205023226	True	3884	955	0.24588053553038106
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.906046397733092	False	3884	134	0.0345005149330587
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.771430773724637	False	3884	329	0.08470648815653965
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.5507125520969315	True	3884	1083	0.27883625128733264
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.9204533441759319	False	3721	116	0.031174415479709755
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.9420277043782759	False	3721	83	0.022305831765654396
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.7106989058111293	False	3721	749	0.20128997581295352
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.9075398767318732	False	3721	162	0.04353668368718087
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.3514791606726976	True	4757	1705	0.3584191717468993
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.6479964368123238	False	4757	607	0.12760142947235653
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.5718574439981384	True	4757	1241	0.2608787050662182
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.43176638792635463	True	4757	2043	0.42947235652722304
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.6057680270481127	False	3493	732	0.20956198110506727
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.6302388688549071	False	3493	509	0.14572001145147437
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.7489843505568381	False	3493	447	0.12797022616661896
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.7993333624219351	False	3493	306	0.08760377898654452
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.6643544416058914	False	2473	396	0.16012939749292357
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	seed_11	seed_37	seed_pair_ari	0.2927983475772002	True	2473	969	0.3918317832591994
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_23	seed_pair_ari	0.8583967887941091	False	2473	132	0.05337646583097452
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	seed_11	seed_37	seed_pair_ari	0.848057928156838	False	2473	143	0.0578245046502224
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	seed_11	seed_23	seed_pair_ari	0.8529851588018181	False	3563	205	0.05753578445130508
