method_id	method_label	stability_band	n_feature_settings	n_distinct_section_k_settings	median_ari	n_opposite_sign_point_estimates	fraction_opposite_sign_point_estimates	n_interval_supported_opposite_sign	fraction_interval_supported_opposite_sign
All_methods_combined	All methods combined	ARI_lt_0_60	693	63	0.488713676348003	109	0.15728715728715728	25	0.03607503607503607
All_methods_combined	All methods combined	ARI_0_60_to_0_80	396	36	0.6934408229625728	58	0.14646464646464646	13	0.03282828282828283
All_methods_combined	All methods combined	ARI_gt_0_80	858	78	0.9796616292565072	9	0.01048951048951049	0	0.0
BayesSpace	BayesSpace	ARI_lt_0_60	55	5	0.4997377987425107	7	0.12727272727272726	3	0.05454545454545454
BayesSpace	BayesSpace	ARI_0_60_to_0_80	132	12	0.6741593345084873	26	0.19696969696969696	10	0.07575757575757576
BayesSpace	BayesSpace	ARI_gt_0_80	99	9	0.8954667294035712	2	0.020202020202020204	0	0.0
M0_expr_kmeans	expression-only k-means	ARI_gt_0_80	286	26	0.9936713663778469	0	0.0	0	0.0
M1_spatial_concat_kmeans	coordinate-augmented k-means	ARI_gt_0_80	286	26	0.991518040736825	1	0.0034965034965034965	0	0.0
M2_spatial_ward	spatial Ward	ARI_lt_0_60	165	15	0.488713676348003	34	0.20606060606060606	5	0.030303030303030304
M2_spatial_ward	spatial Ward	ARI_0_60_to_0_80	99	9	0.7063716919326226	19	0.1919191919191919	3	0.030303030303030304
M2_spatial_ward	spatial Ward	ARI_gt_0_80	22	2	0.8264158635889871	0	0.0	0	0.0
M3_spatial_leiden	spatial Leiden	ARI_lt_0_60	154	14	0.49173511666743186	27	0.17532467532467533	5	0.032467532467532464
M3_spatial_leiden	spatial Leiden	ARI_0_60_to_0_80	44	4	0.6881432710331283	3	0.06818181818181818	0	0.0
M3_spatial_leiden	spatial Leiden	ARI_gt_0_80	33	3	0.8999489955234822	4	0.12121212121212122	0	0.0
M4_spagcn	SpaGCN-style	ARI_lt_0_60	154	14	0.46482406216397887	20	0.12987012987012986	6	0.03896103896103896
M4_spagcn	SpaGCN-style	ARI_0_60_to_0_80	33	3	0.7397614738373661	1	0.030303030303030304	0	0.0
M4_spagcn	SpaGCN-style	ARI_gt_0_80	99	9	0.8824877569758073	2	0.020202020202020204	0	0.0
M5_stagate	STAGATE-style	ARI_lt_0_60	165	15	0.5060731202375448	21	0.12727272727272726	6	0.03636363636363636
M5_stagate	STAGATE-style	ARI_0_60_to_0_80	88	8	0.6765880710788404	9	0.10227272727272728	0	0.0
M5_stagate	STAGATE-style	ARI_gt_0_80	33	3	0.8428951727609548	0	0.0	0	0.0
