dataset_id	sample_id	method_id	method_label	K	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	2	0.9336165394204852	0.928817202824643	0.9384158760163274	0	178.0	0.03795309168443497
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	2	0.7428829444093978	0.7402681426551235	0.7454977461636721	0	948.0	0.20213219616204692
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	4	2	0.9997002470488495	0.9997002470488495	0.9997002470488495	0	1.0	0.00021321961620469082
GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	expression-only k-means	6	2	0.9990233876856964	0.9980467753713929	1.0	0	5.0	0.0010660980810234541
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	1.0	1.0	1.0	0		
GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9987360957917615	0.9981465142275455	0.9993256773559773	0	7.0	0.0014925373134328358
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	4	2	0.78718322942753	0.6864284500840303	0.8879380087710298	0	840.0	0.1791044776119403
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	6	2	0.822413035954898	0.7178016934811752	0.9270243784286208	0	815.0	0.17377398720682302
GSE267401	GSM8265211_CTC21P	M3_spatial_leiden	spatial Leiden	4	1	0.4493370378675408	0.4493370378675408	0.4493370378675408	1	1596.0	0.3402985074626866
GSE267401	GSM8265211_CTC21P	M4_spagcn	SpaGCN-style	4	2	0.9002420176041155	0.885481926038385	0.9150021091698459	0	463.0	0.09872068230277185
GSE267401	GSM8265211_CTC21P	M4_spagcn	SpaGCN-style	6	2	0.5300146053898268	0.3962430651378623	0.6637861456417914	1	2044.0	0.43582089552238806
GSE267401	GSM8265211_CTC21P	M5_stagate	STAGATE-style	4	2	0.8025131240389889	0.7814710671088025	0.8235551809691752	0	742.0	0.1582089552238806
GSE267401	GSM8265211_CTC21P	M5_stagate	STAGATE-style	6	2	0.5190001395652433	0.42866225874074226	0.6093380203897443	1	2631.0	0.5609808102345416
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	2	0.6769291398916621	0.44781188205023226	0.906046397733092	1	1008.0	0.25952626158599384
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	6	2	0.6610716629107842	0.5507125520969315	0.771430773724637	1	1152.0	0.29660144181256437
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	4	2	0.9896554625678076	0.9893424365281229	0.9899684886074922	0	25.0	0.006436663233779609
GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	expression-only k-means	6	2	0.9250674753740065	0.8996156225111807	0.9505193282368322	0	163.0	0.04196704428424305
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	0.9859490901197883	0.9851006684817822	0.9867975117577942	0	18.0	0.004634397528321318
GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9414470321213839	0.9030712906475608	0.9798227735952072	0	161.0	0.04145211122554068
GSE267401	GSM8265212_CTC21M	M2_spatial_ward	spatial Ward	4	2	0.30015615763523673	0.2919301400499418	0.30838217522053163	2	2524.0	0.6498455200823893
GSE267401	GSM8265212_CTC21M	M2_spatial_ward	spatial Ward	6	2	0.3891379730430796	0.3793119575230733	0.398963988563086	2	1784.0	0.4593202883625129
GSE267401	GSM8265212_CTC21M	M3_spatial_leiden	spatial Leiden	4	2	0.9325480700083216	0.9251745792410169	0.9399215607756264	0	99.0	0.02548918640576725
GSE267401	GSM8265212_CTC21M	M3_spatial_leiden	spatial Leiden	6	2	0.4114807907987492	0.3867909139058372	0.4361706676916613	2	2242.0	0.5772399588053553
GSE267401	GSM8265212_CTC21M	M4_spagcn	SpaGCN-style	4	2	0.4576541162584655	0.45331505096555996	0.46199318155137103	2	1494.0	0.3846549948506694
GSE267401	GSM8265212_CTC21M	M4_spagcn	SpaGCN-style	6	2	0.7397614738373661	0.7183442889601744	0.7611786587145578	0	635.0	0.16349124613800206
GSE267401	GSM8265212_CTC21M	M5_stagate	STAGATE-style	4	2	0.40716761822073466	0.3496834280993498	0.46465180834211955	2	1652.0	0.4253347064881565
GSE267401	GSM8265212_CTC21M	M5_stagate	STAGATE-style	6	2	0.6985911372382234	0.5819184554753977	0.8152638190010493	1	942.0	0.24253347064881564
