dataset_id	sample_id	method_id	K	seed	neighbor_k	n_spots_total	n_boundary_spots	n_interior_spots	boundary_definition	feature_type	feature_id	feature_label	genes_used	mean_boundary	mean_interior	mean_delta_boundary_minus_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	median_delta_ci_lower	median_delta_ci_upper	pvalue_mannwhitney_two_sided	fdr_bh_within_seed	notes
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	gene	FAP	FAP (log-normalized expression)	FAP	0.3375037703512334	0.2949392566864701	0.042564513664763326	0.0	0.0	0.0	0.0	0.0	0.17984994686698175	0.21981660172631104	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	gene	SPP1	SPP1 (log-normalized expression)	SPP1	0.6458375534910387	0.4632472543171739	0.18259029917386477	0.0	0.0	0.0	0.0	0.0	0.0012047860486660207	0.0022087744225543714	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	gene	EPCAM	EPCAM (log-normalized expression)	EPCAM	1.212116253982888	1.4786527767149447	-0.26653652273205664	1.1643707111980275	1.8035223650816132	-0.6391516538835857	-1.8219595521086331	-0.36538543951791214	1.1975173032182186e-05	2.634538067080081e-05	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	gene	COL1A1	COL1A1 (log-normalized expression)	COL1A1	2.810478505040561	2.506145067479965	0.3043334375605964	3.0056885812494945	2.5585644243480345	0.4471241569014599	0.323633802000821	0.5603654475616642	1.229583315761463e-09	3.381354118344023e-09	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	gene	PTPRC	PTPRC (log-normalized expression)	PTPRC	0.08399487251618575	0.05506757180198863	0.028927300714197114	0.0	0.0	0.0	0.0	0.0	0.02010661186895725	0.02764659131981622	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	signature	SIG_CAF_FAP	CAF / FAP-associated (fibroblast activation) (mean log-normalized expression)	FAP,COL1A1,DCN,COL3A1,LUM	1.8284830811400818	1.6323133814883481	0.1961696996517337	1.8308672789828193	1.5751368299960333	0.255730448986786	0.14930099263992289	0.3353554654630858	4.575572901772262e-10	1.6777100639831628e-09	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	signature	SIG_MY_SPP1	SPP1-myeloid–associated (mean log-normalized expression)	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	0.3212415188002117	0.282889789458487	0.038351729341724705	0.2853102925549161	0.24965343145720573	0.03565686109771035	0.0023163385522395052	0.056945378933090256	0.004410624046569536	0.00693098064460927	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	signature	SIG_TCELL	T-cell–associated (mean log-normalized expression)	TRAC,CD3D,CD3E,CD247	0.10617159980645158	0.10611824207679087	5.335772966071073e-05	0.0	0.0	0.0	0.0	0.0	0.6134790759285385	0.6134790759285385	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	signature	SIG_EXCLUSION_TGFB_CXCL12	Immune-exclusion–adjacent (TGFβ / CXCL12 / myofibroblast barrier; exploratory) (mean log-normalized expression)	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	1.3444656349305193	1.1622205055163768	0.1822451294141425	1.4023149174103016	1.1525053734149653	0.24980954399533628	0.1540360490959468	0.3260647326125281	7.426415538096391e-11	4.5339103651935763e-10	figS4-boundary-vs-interior-seed-sensitivity
GSE311294	GSM9322957_TR11_206	BayesSpace	4	11	6	3742	574	3168	boundary = has ≥1 label-discordant neighbor in 6-NN spatial graph	signature	SIG_CYTOTOX	Cytotoxic lymphocyte–associated (exploratory) (mean log-normalized expression)	NKG7,GNLY,GZMB,PRF1,IFNG	0.09336132946274078	0.0893438508230851	0.0040174786396556805	0.0	0.0	0.0	0.0	0.0	0.40929526492165347	0.45022479141381877	figS4-boundary-vs-interior-seed-sensitivity
