dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_switching	n_stable	median_gradient_switching	median_gradient_stable	median_delta_switching_minus_stable	pvalue_mannwhitney_spot_level	status	fdr_bh
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	44	4646	4.008161544799805	4.464960098266602	-0.4567985534667969	0.7340077757835388	success	1.0
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	41	4649	6.194639205932617	4.464240550994873	1.7303986549377441	0.045921411365270615	success	0.13776423409581184
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	849	3841	8.412271499633789	3.6051900386810303	4.80708122253418	8.287862996366342e-28	success	1.4918153393459415e-26
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	850	3840	8.408373832702637	3.605179786682129	4.803194046020508	6.552249597223564e-29	success	2.358809855000483e-27
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	34	3708	3.9445619583129883	4.286473274230957	-0.34191131591796875	0.602214515209198	success	1.0
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	1292	2450	4.198690414428711	4.322906017303467	-0.12421560287475586	0.36180809140205383	success	0.766181840616114
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	1069	2673	4.573553562164307	4.182560920715332	0.3909926414489746	0.004192072432488203	success	0.01509146075695753
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	1158	2584	4.2337141036987305	4.319690704345703	-0.08597660064697266	0.529516875743866	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	700	2973	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	47	3626	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	958	2715	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	1018	2655	0.0	0.0	0.0	1.0	success	1.0
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	92	4598	2.3652820587158203	4.499555587768555	-2.1342735290527344	0.0015949882799759507	success	0.007177447259891778
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	88	4602	2.4972445964813232	4.499551773071289	-2.002307176589966	0.0039573241956532	success	0.01509146075695753
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	209	4481	2.1211044788360596	4.536062717437744	-2.4149582386016846	2.784928074106574e-05	success	0.00020051482133567333
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	195	4495	2.121109962463379	4.527246952056885	-2.406136989593506	0.00021498530986718833	success	0.00128991185920313
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	22	3720	5.28986930847168	4.275239944458008	1.0146293640136719	0.603446364402771	success	1.0
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	20	3722	4.901076316833496	4.2761125564575195	0.6249637603759766	0.9041106700897217	success	1.0
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	32	3710	4.781064987182617	4.2775654792785645	0.5034995079040527	0.880024790763855	success	1.0
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	36	3706	3.5950913429260254	4.305874824523926	-0.7107834815979004	0.1571405529975891	success	0.4351584544548622
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	9	3664	0.0	0.0	0.0	1.0	success	1.0
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	3	3670	0.0	0.0	0.0	1.0	success	1.0
