dataset_id	sample_id	method_id	method_label	K	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.9755868639147716	0.9748206294386089	0.9763530983909341	0	65	0.013859275053304905
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.7870169698208964	0.7852420245283863	0.7887919151134066	0	875	0.1865671641791045
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.9459440638081305	0.9454619202925525	0.9464262073237084	0	121	0.02579957356076759
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.9061058979146913	0.901568508441724	0.9106432873876587	0	234	0.04989339019189765
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.46591691174030847	0.4538735955979723	0.47796022788264464	2	1448	0.3087420042643923
GSE267401	GSM8265211_CTC21P	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.45929919816529985	0.4095206064724822	0.5090777898581176	2	2504	0.5339019189765458
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.7116770456254818	0.45026867094384854	0.9730854203071151	1	1302	0.34794227685729556
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.5777063615395578	0.5446228416598097	0.6107898814193059	1	1589	0.42463923035809725
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.982702196463822	0.9818274295064797	0.9835769634211642	0	26	0.00694815606627472
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.9757879231870559	0.9739701551274252	0.9776056912466866	0	48	0.012827365045430252
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.7797049207152806	0.7548074389488058	0.8046024024817554	0	444	0.11865312667022983
GSE311294	GSM9322957_TR11_206	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.4781401179681249	0.47349555359389806	0.4827846823423517	2	1813	0.48450026723677175
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	2	0.8110258686757454	0.6556310584478146	0.9664206789036763	0	719	0.19575279063435883
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	2	0.5538018123031635	0.5236968433208414	0.5839067812854856	2	1573	0.4282602777021508
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	2	0.9951379956892319	0.9929039619407942	0.9973720294376696	0	9	0.002450313095562211
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	6	2	0.996566022071872	0.9960343815844099	0.997097662559334	0	8	0.0021780560849441874
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	4	2	0.5925259993581129	0.528441539966942	0.6566104587492837	1	991	0.2698066975224612
GSE311294	GSM9322959_TR11_18105	Official_SpaGCN_v1_2_7	Official_SpaGCN_v1_2_7	6	2	0.538401088529334	0.4380988400100644	0.6387033370486037	1	1635	0.4451402123604683
