dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_spots	n_switching	switching_fraction	n_reference_boundary	n_alternative_boundary	n_union_boundary	n_switching_in_union_boundary	fraction_switching_in_union_boundary	fraction_stable_in_union_boundary	risk_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_upper	jaccard_switching_union_boundary	median_distance_switching_to_reference_boundary	median_distance_stable_to_reference_boundary
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	4690	44	0.009381663113006396	1291	1270	1318	44	1.0	0.27421437795953507	3.6467817896389327	235.5060808160063	14.492111894127605	3827.1243353972227	0.03338391502276176	0.0	43.0
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	4690	41	0.008742004264392323	1291	1283	1322	41	1.0	0.27554312755431276	3.6291959406713503	218.17050331642605	13.410372067057635	3549.369717658114	0.031013615733736764	0.0	43.0
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	4690	849	0.1810234541577825	1997	2086	2317	575	0.6772673733804476	0.4535277271543869	1.493331791707405	2.5286083618963016	2.160606987165938	2.9592888877207164	0.22192203782323427	0.0	24.698178070456937
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	4690	850	0.1812366737739872	1997	2089	2321	582	0.6847058823529412	0.45286458333333335	1.5119439840340967	2.623702934436501	2.240187471257434	3.0728754519400856	0.22479721900347624	0.0	24.698178070456937
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	3742	34	0.009086050240513094	539	545	573	34	1.0	0.14536138079827401	6.879406307977736	405.3670064874884	24.814512543692448	6622.02852702808	0.059336823734729496	0.0	77.21485449377585
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	3742	1292	0.3452699091394976	539	1332	1436	639	0.49458204334365324	0.3253061224489796	1.5203588534403392	2.029561468062662	1.7679804512200568	2.329844625715248	0.3058879846816659	93.47585062567853	74.25117360497975
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	3742	1069	0.2856761090326029	1913	1536	2227	902	0.8437792329279701	0.49569771791994016	1.7022051997105387	5.494954242458479	4.5820152607081805	6.589790825368328	0.3767752715121136	0.0	21.409857179402227
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	3742	1158	0.3094601817210048	1913	1917	2305	965	0.8333333333333334	0.5185758513931888	1.6069651741293534	4.641791044776119	3.9053838520414867	5.517056688832463	0.38630904723779025	0.0	21.409837179436952
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_23	3673	700	0.19057990743261638	956	1055	1259	355	0.5071428571428571	0.30406996300033634	1.667849241466498	2.3550564319610108	1.991812834042714	2.7845441614430264	0.2213216957605985	91.45295489971791	158.58197423337222
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	seed_11	seed_37	3673	47	0.0127960794990471	956	942	987	45	0.9574468085106383	0.2597904026475455	3.685458734245833	64.10828025477707	15.521669371254154	264.78283352926263	0.0455005055611729	0.0	158.58197423336222
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_23	3673	958	0.2608222161720664	1278	1355	1690	672	0.7014613778705637	0.37495395948434623	1.8707933604308256	3.9168532842403176	3.342057973481452	4.5905067392599825	0.340080971659919	91.13906565136024	91.45295489971194
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	seed_11	seed_37	3673	1018	0.27715763680914784	1278	1353	1723	692	0.6797642436149313	0.38832391713747644	1.7505083092120686	3.3436118367419803	2.8690829916908047	3.89662486138564	0.337725719863348	91.13906565136024	91.45295489971885
