dataset_id	sample_id	K	seed_count	stability_ari_median	stability_ari_iqr	notes
GSE311294	GSM9322957_TR11_206	4	5	0.460964096439372	0.0941879768076853	rigor-backfill-v4-GSE311294-GSM9322957_TR11_206
GSE311294	GSM9322957_TR11_206	6	5	0.548703730216161	0.142825472178262	rigor-backfill-v4-GSE311294-GSM9322957_TR11_206
GSE311294	GSM9322958_TR11_16184	4	5	0.451749166550942	0.464018463865391	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184
GSE311294	GSM9322958_TR11_16184	6	5	0.710889702307853	0.0990174799060355	rigor-backfill-v4-GSE311294-GSM9322958_TR11_16184
GSE311294	GSM9322959_TR11_18105	4	5	0.608893188866528	0.385629202492096	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105
GSE311294	GSM9322959_TR11_18105	6	5	0.494816446669184	0.0812662291884437	rigor-backfill-v4-GSE311294-GSM9322959_TR11_18105
GSE311294	GSM9322960_TR11_21723	4	5	0.968284702864948	0.00585531151549468	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723
GSE311294	GSM9322960_TR11_21723	6	5	0.927792941878052	0.135389517956473	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723
GSE311294	GSM9322961_TR16_23542	4	5	0.794807041549357	0.405609573337606	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542
GSE311294	GSM9322961_TR16_23542	6	5	0.792234121807121	0.215238171263445	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542
GSE267401	GSM8265211_CTC21P	4	5	0.929537287384769	0.00621692050735589	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P
GSE267401	GSM8265211_CTC21P	6	5	0.930374611651557	0.192473370789889	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P
GSE267401	GSM8265212_CTC21M	4	5	0.645984797347727	0.382179479794801	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M
GSE267401	GSM8265212_CTC21M	6	5	0.555354500114715	0.240241621772753	rigor-backfill-v4-GSE267401-GSM8265212_CTC21M
GSE267401	GSM8265213_CTC17P	4	5	0.937546720251044	0.0113782518613799	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P
GSE267401	GSM8265213_CTC17P	6	5	0.715377181975238	0.194698792299871	rigor-backfill-v4-GSE267401-GSM8265213_CTC17P
GSE267401	GSM8265214_CTC17M	4	5	0.596478551876256	0.407181028913329	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M
GSE267401	GSM8265214_CTC17M	6	5	0.569567792151426	0.14268467293966	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M
GSE280318	GSM8703563_Tumor19	4	5	0.838975585991731	0.260581218057201	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19
GSE280318	GSM8703563_Tumor19	6	5	0.705875436311341	0.329710402709616	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19
GSE280318	GSM8703564_Tumor20	4	5	0.421151992045554	0.259674982802075	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20
GSE280318	GSM8703564_Tumor20	6	5	0.539692539017293	0.310821995470669	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20
GSE280318	GSM8703565_Tumor24	4	5	0.774598686392599	0.221081404587409	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24
GSE280318	GSM8703565_Tumor24	6	5	0.531171035738852	0.336102669464909	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24
GSE280318	GSM8703566_Tumor26	4	5	0.90798882638059	0.00943910007989102	rigor-backfill-v4-GSE280318-GSM8703566_Tumor26
GSE280318	GSM8703566_Tumor26	6	5	0.71767491800999	0.131637054899496	rigor-backfill-v4-GSE280318-GSM8703566_Tumor26
